"name","province","sub_region_1","date","value","value_daily"
"cases","AB","North",2020-05-21,231,2
"cases","AB","Not Reported",2020-05-21,0,0
"cases","AB","South",2020-05-21,1223,4
"cases","AB",NA,2020-05-21,0,0
"cases","AB","Calgary",2020-05-22,4693,21
"cases","AB","Central",2020-05-22,88,0
"cases","AB","Edmonton",2020-05-22,503,0
"cases","AB","North",2020-05-22,232,1
"cases","AB","Not Reported",2020-05-22,0,0
"cases","AB","South",2020-05-22,1228,5
"cases","AB",NA,2020-05-22,0,0
"cases","AB","Calgary",2020-05-23,4722,29
"cases","AB","Central",2020-05-23,88,0
"cases","AB","Edmonton",2020-05-23,503,0
"cases","AB","North",2020-05-23,233,1
"cases","AB","Not Reported",2020-05-23,0,0
"cases","AB","South",2020-05-23,1230,2
"cases","AB",NA,2020-05-23,0,0
"cases","AB","Calgary",2020-05-24,4744,22
"cases","AB","Central",2020-05-24,88,0
"cases","AB","Edmonton",2020-05-24,504,1
"cases","AB","North",2020-05-24,233,0
"cases","AB","Not Reported",2020-05-24,0,0
"cases","AB","South",2020-05-24,1236,6
"cases","AB",NA,2020-05-24,0,0
"cases","AB","Calgary",2020-05-25,4757,13
"cases","AB","Central",2020-05-25,88,0
"cases","AB","Edmonton",2020-05-25,504,0
"cases","AB","North",2020-05-25,233,0
"cases","AB","Not Reported",2020-05-25,0,0
"cases","AB","South",2020-05-25,1236,0
"cases","AB",NA,2020-05-25,0,0
"cases","AB","Calgary",2020-05-26,4772,15
"cases","AB","Central",2020-05-26,88,0
"cases","AB","Edmonton",2020-05-26,506,2
"cases","AB","North",2020-05-26,234,1
"cases","AB","Not Reported",2020-05-26,0,0
"cases","AB","South",2020-05-26,1237,1
"cases","AB",NA,2020-05-26,0,0
"cases","AB","Calgary",2020-05-27,4795,23
"cases","AB","Central",2020-05-27,88,0
"cases","AB","Edmonton",2020-05-27,509,3
"cases","AB","North",2020-05-27,235,1
"cases","AB","Not Reported",2020-05-27,0,0
"cases","AB","South",2020-05-27,1237,0
"cases","AB",NA,2020-05-27,0,0
"cases","AB","Calgary",2020-05-28,4818,23
"cases","AB","Central",2020-05-28,88,0
"cases","AB","Edmonton",2020-05-28,510,1
"cases","AB","North",2020-05-28,239,4
"cases","AB","Not Reported",2020-05-28,0,0
"cases","AB","South",2020-05-28,1237,0
"cases","AB",NA,2020-05-28,0,0
"cases","AB","Calgary",2020-05-29,4838,20
"cases","AB","Central",2020-05-29,88,0
"cases","AB","Edmonton",2020-05-29,520,10
"cases","AB","North",2020-05-29,239,0
"cases","AB","Not Reported",2020-05-29,0,0
"cases","AB","South",2020-05-29,1237,0
"cases","AB",NA,2020-05-29,0,0
"cases","AB","Calgary",2020-05-30,4850,12
"cases","AB","Central",2020-05-30,88,0
"cases","AB","Edmonton",2020-05-30,525,5
"cases","AB","North",2020-05-30,242,3
"cases","AB","Not Reported",2020-05-30,0,0
"cases","AB","South",2020-05-30,1237,0
"cases","AB",NA,2020-05-30,0,0
"cases","AB","Calgary",2020-05-31,4871,21
"cases","AB","Central",2020-05-31,88,0
"cases","AB","Edmonton",2020-05-31,534,9
"cases","AB","North",2020-05-31,242,0
"cases","AB","Not Reported",2020-05-31,0,0
"cases","AB","South",2020-05-31,1241,4
"cases","AB",NA,2020-05-31,0,0
"cases","AB","Calgary",2020-06-01,4889,18
"cases","AB","Central",2020-06-01,88,0
"cases","AB","Edmonton",2020-06-01,537,3
"cases","AB","North",2020-06-01,242,0
"cases","AB","Not Reported",2020-06-01,0,0
"cases","AB","South",2020-06-01,1241,0
"cases","AB",NA,2020-06-01,0,0
"cases","AB","Calgary",2020-06-02,4896,7
"cases","AB","Central",2020-06-02,88,0
"cases","AB","Edmonton",2020-06-02,542,5
"cases","AB","North",2020-06-02,247,5
"cases","AB","Not Reported",2020-06-02,0,0
"cases","AB","South",2020-06-02,1243,2
"cases","AB",NA,2020-06-02,0,0
"cases","AB","Calgary",2020-06-03,4910,14
"cases","AB","Central",2020-06-03,88,0
"cases","AB","Edmonton",2020-06-03,544,2
"cases","AB","North",2020-06-03,247,0
"cases","AB","Not Reported",2020-06-03,0,0
"cases","AB","South",2020-06-03,1245,2
"cases","AB",NA,2020-06-03,0,0
